"variable","rmse_increase","mae_increase","rmse_pct_increase"
"gebco_2025_n61.0_s34.0_w_10.0_e35.0",0.0268474094893641,0.012912285356974,641.61990595217
"wave_height_p95_m",0.0262706438564686,0.0133328718419787,627.835920153409
"fe_mean_monthly_1.5m_mmol_m3",0.0254620466250554,0.0127854513547698,608.511445671876
"no3_mean_monthly_1.5m_mmol_m3",0.0241733072883829,0.0122955248469884,577.712168284601
"no_sig_wave_heights_mean",0.019041750152166,0.00925286481958961,455.074294845378
"spco2_monthly_mean_pa",0.0143664780883268,0.00598226219362662,343.341070711044
"ph_p05_monthly_1.5m",0.0135316115709342,0.00453981808627618,323.388792760941
"ph_mean_monthly_1.5m",0.0131035468436981,0.00267179591274951,313.158574827271
"spco2_monthly_p95_pa",0.0116986550089413,0.00427114019885219,279.583396289219
"daily_std_wave_height_mean_m",0.00995291534905977,0.00458191246383669,237.862375986164
"bottomt_mean_daily_c",0.00974014930934884,0.00410155436488386,232.777530595653
"nppv_mean_monthly_0.5m_mg_m3_day",0.00665425580674051,0.003677005078745,159.028489754065
"phyc_mean_monthly_0.5m_mmol_m3",0.00566719802716384,0.0025529696608468,135.439028731681
"sw_ke_mean_cm2_s2",0.00397834641545757,0.00153267136331896,95.0775624718008
"s3a_olci_errnt.20160425_20241231.l3m.cu.chl.chlor_a.4km",0.00390897410588811,0.00197636333753113,93.4196500106648
"bottomt_p95_daily_c",0.00371020487256629,0.00132874779032714,88.669310994133
"surf_fgco2_mean_molc_m2_yr",0.00336049993149752,0.00158520885780298,80.3117951046225
"surf_spco2_mean_uatm",0.00306881366877618,0.00133855524806474,73.3408539220496
"vo_mean_1.5m_m_s",0.00240415069887693,0.00100167400180162,57.4562304016466
"vo_p90_1.5m_m_s",0.00226791677167101,0.000991979739662128,54.2004079135967
"surf_spco2_p95_uatm",0.000447090050875015,0.000421768833901736,10.68489965515
"uo_p90_1.5m_m_s",0.000128477595304804,7.29961749958202e-05,3.07045574170149
"s3a_olci_errnt.20160425_20241231.l3m.cu.rrs.rrs_443.4km",5.57555002689322e-05,0.000108443082863693,1.33248754793421
"s3a_olci_errnt.20160425_20241231.l3m.cu.kd.kd_490.4km",4.37972198730645e-05,7.10972224206454e-05,1.04669942576973
"s3a_olci_errnt.20160425_20241231.l3m.cu.iop.adg_443.4km",1.21492041158446e-05,2.95134851187039e-05,0.290350963108378
