"method","fold","model","r2","rmse","mae","bias","block_size_m","predictor_set"
"spatial_block_10000m",1,"XGB",0.530600910367284,0.0425506246782215,0.0227303786260133,-0.0151404444894731,10000,"all"
"spatial_block_10000m",1,"GPR",0.264382467013103,0.0537894621560922,0.0299069373655066,-0.0221932811602042,10000,"all"
"spatial_block_10000m",1,"GAM",0.0128731281411323,0.104227209487811,0.0362412467843883,0.00213253326128755,10000,"all"
"spatial_block_10000m",2,"XGB",0.681448260226514,0.0204886410708687,0.00960791594232224,0.0048939917123936,10000,"all"
"spatial_block_10000m",2,"GPR",0.221181416864192,0.0509826890860603,0.0301705961231745,0.0244829104426523,10000,"all"
"spatial_block_10000m",2,"GAM",0.00171475383406048,483.73908567562,59.7847312012225,59.7746153012233,10000,"all"
"spatial_block_10000m",3,"XGB",0.242553120538776,0.00976276404085422,0.0080187816668102,0.0069583651326561,10000,"all"
"spatial_block_10000m",3,"GPR",0.0332843607573603,0.0102986727189463,0.00885217191154501,0.00798905274436286,10000,"all"
"spatial_block_10000m",3,"GAM",0.0764129933290653,0.0192276539294042,0.0128847496629218,0.0105487287426252,10000,"all"
"spatial_block_10000m",4,"XGB",0.146126878201527,0.0113624278698585,0.00836588038217844,0.000915169780463664,10000,"all"
"spatial_block_10000m",4,"GPR",0.0867656490172364,0.0115868399562154,0.0103385740742343,0.00512656269875191,10000,"all"
"spatial_block_10000m",4,"GAM",0.472467870007789,0.00807349241655005,0.0054425942624511,-0.00103203859054341,10000,"all"
"spatial_block_10000m",5,"XGB",0.170913595400814,0.0512570862758675,0.0198733686763517,0.015826036037795,10000,"all"
"spatial_block_10000m",5,"GPR",7.64108318823353e-07,0.0305603702173197,0.0142391090102049,0.00454972207440188,10000,"all"
"spatial_block_10000m",5,"GAM",0.263352492498836,0.0260670422824033,0.0101162442583736,-0.00153068118559853,10000,"all"
"spatial_block_25000m",1,"XGB",0.086945987647581,0.0594770532829381,0.0343919420563939,-0.0325489961337258,25000,"all"
"spatial_block_25000m",1,"GPR",NA,0.0609773620628554,0.0371013498613149,-0.033201738523708,25000,"all"
"spatial_block_25000m",1,"GAM",0.686614515904412,0.0321928995282651,0.0243995219972934,0.014571859112447,25000,"all"
"spatial_block_25000m",2,"XGB",0.276138882879409,0.00799348335027701,0.00691608154774293,0.00537282181713799,25000,"all"
"spatial_block_25000m",2,"GPR",0.0222543701046564,0.0124205420034844,0.0118429057484062,0.0107133002416023,25000,"all"
"spatial_block_25000m",2,"GAM",0.00419194407518855,0.0190160502838362,0.0133792173403715,0.00942440744668373,25000,"all"
"spatial_block_25000m",3,"XGB",0.0128882304900506,0.00817306541132096,0.00592204236576991,-0.00356095680397069,25000,"all"
"spatial_block_25000m",3,"GPR",NA,0.0112991533100512,0.0100801987598379,0.00890609495502715,25000,"all"
"spatial_block_25000m",3,"GAM",0.092497770313693,0.0144083219688003,0.00746379309879709,-0.0024911319988113,25000,"all"
"spatial_block_25000m",4,"XGB",0.00566757841645241,0.0283097099109291,0.0205889294335761,0.018967623435271,25000,"all"
"spatial_block_25000m",4,"GPR",NA,0.0121409697013906,0.0113248210813366,0.00871095900636886,25000,"all"
"spatial_block_25000m",4,"GAM",0.00225616812218555,21.6005461181573,3.38115892683131,3.37113498130531,25000,"all"
"spatial_block_25000m",5,"XGB",0.0116560948757626,0.044386217199273,0.0146549273374638,-0.00837161709659431,25000,"all"
"spatial_block_25000m",5,"GPR",0.000435433673035521,0.0439404719419043,0.019225585657819,-0.00344630125373749,25000,"all"
"spatial_block_25000m",5,"GAM",3.78755575316031e-05,0.0447868083958872,0.0161811159545898,-0.00587523452804672,25000,"all"
"spatial_block_50000m",1,"XGB",0.201880992082436,0.0374284148570377,0.0289405210793184,0.016678555076537,50000,"all"
"spatial_block_50000m",1,"GPR",0.000852982358056958,0.0116673158868,0.0102335298006569,0.00246396506235042,50000,"all"
"spatial_block_50000m",1,"GAM",0.0681523566232766,0.0162578517496078,0.0117440467426092,-0.00278108502566057,50000,"all"
"spatial_block_50000m",2,"XGB",0.00469061481025375,0.00915815490490921,0.00589501109641621,-0.00130113148698124,50000,"all"
"spatial_block_50000m",2,"GPR",0.0240847451724503,0.00997581634584317,0.00883216109882508,0.00812787730289995,50000,"all"
"spatial_block_50000m",2,"GAM",0.0135921060497291,3.53311575015304,0.482574101816479,0.465609607031993,50000,"all"
"spatial_block_50000m",3,"XGB",0.368583456439735,0.0515501003758059,0.0275886458594826,-0.0244491587854509,50000,"all"
"spatial_block_50000m",3,"GPR",0.00610485788019724,0.0543117551908223,0.0320005662108687,-0.023110044642456,50000,"all"
"spatial_block_50000m",3,"GAM",0.0804278807106108,0.18242669680698,0.101575138617626,0.0651086781734893,50000,"all"
"spatial_block_50000m",4,"XGB",0.012534010470447,0.0109589630011003,0.00887385600873391,0.00847913590885231,50000,"all"
"spatial_block_50000m",4,"GPR",0.0119973668648891,0.0125632528395311,0.0121464662217179,0.012026888443603,50000,"all"
"spatial_block_50000m",4,"GAM",0.0148351488782671,0.0289999351117969,0.00899135605974268,0.00459045148035264,50000,"all"
"spatial_block_50000m",5,"XGB",0.0021720394950019,0.0444536380092123,0.0153207628400534,-0.00467289959912504,50000,"all"
"spatial_block_50000m",5,"GPR",0.000496093578360809,0.0419793028844798,0.0173496911426131,-0.00157860815336283,50000,"all"
"spatial_block_50000m",5,"GAM",0.00518630054204813,0.046898026646599,0.0193314046425633,-0.00117962976350891,50000,"all"
"spatial_block_1e+05m",1,"XGB",0.621555547180419,0.00772021650801577,0.00662635950474474,0.00361269645082244,1e+05,"all"
"spatial_block_1e+05m",1,"GPR",0.00886825531177091,0.0127698358301286,0.011882568424879,0.00625655602248639,1e+05,"all"
"spatial_block_1e+05m",1,"GAM",0.0366888338473856,0.0365413362936518,0.016016940494123,0.0115592120707558,1e+05,"all"
"spatial_block_1e+05m",2,"XGB",0.250835379336467,0.0488692348478592,0.0253725785100288,-0.018431205337381,1e+05,"all"
"spatial_block_1e+05m",2,"GPR",0.00335134740375874,0.051894943090885,0.0293266810855351,-0.0199027529051437,1e+05,"all"
"spatial_block_1e+05m",2,"GAM",0.00991724661826614,3.05396663849589,0.519871659122529,0.459619546127903,1e+05,"all"
"spatial_block_1e+05m",3,"XGB",0.146925344932339,0.00727342361771354,0.00565455777802487,-0.00300152271616614,1e+05,"all"
"spatial_block_1e+05m",3,"GPR",5.58368409384586e-06,0.0089514208192318,0.00774228432439586,0.00600850975622587,1e+05,"all"
"spatial_block_1e+05m",3,"GAM",0.0349774089625296,0.036417415273176,0.0187999557206885,0.0170694255316323,1e+05,"all"
"spatial_block_1e+05m",4,"XGB",0.157896658355163,0.0410638772816332,0.0313659965878647,0.0268011386191555,1e+05,"all"
"spatial_block_1e+05m",4,"GPR",0.00838110416978433,0.0120026546884939,0.0109865986636574,0.00918370794366214,1e+05,"all"
"spatial_block_1e+05m",4,"GAM",0.00286272876042932,0.0164437101150706,0.00851026631368454,-0.00292316838558027,1e+05,"all"
"spatial_block_1e+05m",5,"XGB",0.0460891784520344,0.040104530685854,0.0167758742109318,0.000421853158117682,1e+05,"all"
"spatial_block_1e+05m",5,"GPR",0.000731476641971851,0.0405664173094741,0.0187210422638079,0.00142957048976786,1e+05,"all"
"spatial_block_1e+05m",5,"GAM",0.0425732354848515,0.0423333302533633,0.0119902356030285,-0.00867927886991923,1e+05,"all"
