"method","fold","model","r2","rmse","mae","bias","block_size_m","predictor_set"
"random_split",4,"SVM",0.396941172455654,0.0332197097952015,0.0135084838591016,-0.0102294962191648,NA,"all"
"random_split",4,"Neural Network",0.813603124612666,0.0168610188386647,0.00837195961070746,0.000567374109476463,NA,"all"
"random_split",4,"GPR",0.685981441674781,0.0209959867226419,0.00844311948499285,-0.00214414970093604,NA,"all"
"random_split",4,"Ordinary Kriging",0.759637746235699,0.0184758553757407,0.00684781060464788,-0.00280608733275881,NA,"all"
"random_split",4,"Universal Kriging (env drift)",0.00110330868003057,93.1245445513556,20.8088951619612,-18.147127986126,NA,"all"
"random_split",4,"GAM",0.0101482128004548,0.144116925956816,0.0263214592480212,0.0111477862301866,NA,"all"
"random_split",4,"INLA",NA,NA,NA,NA,NA,"all"
"random_split",5,"Random Forest",0.686872455303237,0.0171143035224504,0.0111469529147674,0.00394760378265602,NA,"all"
"random_split",5,"XGBoost",0.935402686658634,0.00661308994249894,0.00399456338612324,0.00095037895770617,NA,"all"
"random_split",5,"SVM",0.504091317734347,0.0172685437946793,0.00724526938458067,0.000321014610429223,NA,"all"
"random_split",5,"Neural Network",0.939130406794314,0.00659595166837389,0.00412735639600177,0.00137245097184667,NA,"all"
"random_split",5,"GPR",0.94270999935735,0.00613269061565843,0.00426891948544796,0.00143227781106462,NA,"all"
"random_split",5,"Ordinary Kriging",0.850923498148261,0.0114532602524883,0.00572879392957568,0.00370521755199911,NA,"all"
"random_split",5,"Universal Kriging (env drift)",0.00370686306485838,63.4344159897525,8.85968681501681,7.63561021238628,NA,"all"
"random_split",5,"GAM",0.700244231417988,0.0134769910095404,0.00685197977694061,0.00152267570335378,NA,"all"
"random_split",5,"INLA",NA,NA,NA,NA,NA,"all"
"random_split",1,"Random Forest",0.0951824504945969,0.0120760314786533,0.00975064461741084,0.00643482524149322,NA,"pruned_gpr"
"random_split",1,"XGBoost",0.409759280815865,0.0110671230408595,0.00589261571873152,0.00241551410415681,NA,"pruned_gpr"
"random_split",1,"SVM",0.554140794013415,0.00711934939035531,0.00508942199736405,-0.000441147092262654,NA,"pruned_gpr"
"random_split",1,"Neural Network",0.237513891477329,0.0163342528980212,0.0082517739874504,0.00537080338044597,NA,"pruned_gpr"
"random_split",1,"GPR",0.1947085598326,0.01227577833746,0.00749571918324407,0.00149822800484325,NA,"pruned_gpr"
"random_split",1,"Ordinary Kriging",0.506257830349926,0.00821494996609767,0.00463178353964188,0.0012259935637592,NA,"pruned_gpr"
"random_split",1,"Universal Kriging (env drift)",0.0056854484985948,3.05531011954183,0.421365309375534,0.418216394461588,NA,"pruned_gpr"
"random_split",1,"GAM",0.358484632056822,0.0126145509870359,0.0073133056633272,0.00228533638240996,NA,"pruned_gpr"
"random_split",1,"INLA",NA,NA,NA,NA,NA,"pruned_gpr"
"random_split",2,"Random Forest",0.226674101006818,0.0256208896741882,0.0135203182859277,0.00146415321153272,NA,"pruned_gpr"
"random_split",2,"XGBoost",0.570254594095049,0.0196095039405181,0.00952905347433684,0.00241695490012348,NA,"pruned_gpr"
"random_split",2,"SVM",0.257584418326481,0.0256218596430579,0.0116495871611119,-0.00438711013149154,NA,"pruned_gpr"
"random_split",2,"Neural Network",0.510012106742153,0.0211779487324148,0.0109917484489952,0.00313608175528723,NA,"pruned_gpr"
"random_split",2,"GPR",0.508572121152041,0.0206913751817332,0.0120971286713323,0.00343814632696334,NA,"pruned_gpr"
"random_split",2,"Ordinary Kriging",0.928680298747839,0.00805363107096703,0.00442648707386935,0.000951811262054649,NA,"pruned_gpr"
"random_split",2,"Universal Kriging (env drift)",0.631962033462368,0.0229076907244342,0.00886963144839303,0.00194654740083644,NA,"pruned_gpr"
"random_split",2,"GAM",0.476528283130188,0.0212052971440529,0.0112929921377477,0.00248563005052636,NA,"pruned_gpr"
"random_split",2,"INLA",NA,NA,NA,NA,NA,"pruned_gpr"
"random_split",3,"Random Forest",0.217697455008269,0.0400548729942627,0.0174731621406627,-0.00472386585338383,NA,"pruned_gpr"
