"model","predictor_set","mean_r2_1km","mean_rmse_1km"
"GAM","pruned_gpr",0.413615713600979,0.0328000133893775
"GPR","pruned_gpr",0.408916345791894,0.0297019918616053
"INLA","all",NA,NA
"Neural Network","pruned_gpr",0.432640877812034,0.0363185309370922
"Ordinary Kriging","all",0.426818145394089,0.0315845105472691
"Random Forest","all",0.223542608488429,0.0265678275882098
"SVM","all",0.265545116480452,16.4177682108089
"Universal Kriging (env drift)","pruned_gpr",0.1911456586466,0.0690747723534898
"XGBoost","pruned_gpr",0.488291245282722,0.0285430097719595
