"kernel","n_features","feature_set","nug_min","nug_max","mean_r2","sd_r2","mean_rmse","sd_rmse","n_folds_valid"
"matern52",5,"5",1e-08,10,0.471699175922121,0.28580655839452,0.0284820953728511,0.0195049570495445,5
"matern32",5,"5",1e-04,10,0.471551116874301,0.28435571361189,0.028318861726769,0.0194664261242382,5
"matern32",15,"15",1e-08,100,0.471336358112991,0.310784632887255,0.0342352123186421,0.0248330997300668,5
"matern32",10,"10",1e-08,100,0.468819455557906,0.282880296278918,0.022337450324287,0.0186905749680246,5
"matern32",5,"5",1e-08,100,0.468797884399068,0.261992412406281,0.0286073017740987,0.0199396983348089,5
"matern32",15,"15",1e-04,10,0.468297797502669,0.279363036019606,0.035988931449687,0.024205640441781,5
"matern32",5,"5",1e-06,100,0.467753787078705,0.288717230846686,0.0283259109794478,0.0194536500357632,5
"matern32",5,"5",1e-08,10,0.46773008220237,0.289751484459845,0.0281346937514959,0.0196566201828779,5
"gaussian",20,"20",1e-06,100,0.467601949770259,0.278103176253312,0.0323797070694147,0.0217411944670695,5
"matern32",5,"5",1e-06,10,0.466429873499407,0.286885510213883,0.028336156994357,0.0194339625474183,5
"gaussian",20,"20",1e-08,100,0.463849469910248,0.286484575955495,0.035142141545651,0.0240553744133853,5
"matern52",15,"15",1e-08,100,0.463728506189531,0.288443517835014,0.0349081219561689,0.0243641821646742,5
"matern52",5,"5",1e-04,100,0.462844797062662,0.28481881112475,0.0252212441465744,0.0192329185676209,5
"gaussian",5,"5",1e-06,100,0.460954254190176,0.286028924688556,0.0260897618826896,0.023510697506384,5
"gaussian",10,"10",1e-08,100,0.460084973808676,0.317678348671831,0.0254174354687215,0.0214264617441506,5
"matern52",15,"15",1e-06,10,0.45962580251372,0.319911803548284,0.0350990793656945,0.0243853210041737,5
"matern52",10,"10",1e-08,100,0.457293685481725,0.28723314999147,0.0320008611538944,0.0217535958502751,5
"matern52",20,"20",1e-04,10,0.455178049637182,0.277100038121112,0.0338966439134084,0.0225887312932828,5
