"method","model","predictor_set","n_folds","mean_r2","sd_r2","mean_rmse","sd_rmse","mean_mae","sd_mae","mean_bias","sd_bias"
"random_split","GAM","all",5,0.25775092619735,0.275914923326057,0.0539668673952615,0.0523445331557109,0.0137401500123579,0.00756045520442666,0.00456012653841509,0.00554883015188052
"random_split","GAM","pruned_gpr",5,0.469779825308361,0.141781482720472,0.0224146475251885,0.00890497284079439,0.0103469141594,0.00240146318671174,-0.00069360970990411,0.00438940150862391
"random_split","GPR","all",5,0.701213732365544,0.240093966432348,0.0148009837160832,0.0115741209950813,0.00637731589170626,0.00215520101026599,-0.000327904900544518,0.00309113264984334
"random_split","GPR","pruned_gpr",5,0.420097104851019,0.183019321771974,0.022743144213548,0.0098812799538882,0.0108428619754163,0.00256686984248692,-0.000527846712060892,0.00409784020798664
"random_split","INLA","all",5,NA,NA,NA,NA,NA,NA,NA,NA
"random_split","INLA","pruned_gpr",5,NA,NA,NA,NA,NA,NA,NA,NA
"random_split","Neural Network","all",5,0.616430472633729,0.36979626032572,0.017963627317274,0.0120201992935028,0.00776759746737609,0.00320420019586448,-2.87628951377265e-05,0.00291830837777043
"random_split","Neural Network","pruned_gpr",5,0.52048646277015,0.202423098509197,0.0205856855452227,0.0066952845148876,0.00964439387785992,0.00215512853556009,0.000677670507826617,0.00360702117266038
"random_split","Ordinary Kriging","all",5,0.715918495688735,0.188695108377049,0.0151690997551801,0.00912914305570246,0.00597790986855451,0.00159854704507847,-0.000303884195515362,0.00334202516406671
"random_split","Ordinary Kriging","pruned_gpr",5,0.715918495688735,0.188695108377049,0.0151690997551801,0.00912914305570246,0.00597790986855451,0.00159854704507847,-0.000303884195515362,0.00334202516406671
"random_split","Random Forest","all",5,0.562250201400359,0.211050135046826,0.022522159217617,0.0105913630947003,0.0120834467796461,0.00270212503069582,8.42437667331858e-05,0.00507037013475243
"random_split","Random Forest","pruned_gpr",5,0.270513342079555,0.146212176990333,0.026550899356345,0.0108148891402156,0.0139458719343849,0.00310546226668404,5.54852336924674e-06,0.00555054785947161
"random_split","SVM","all",5,0.443394423152293,0.185551037952386,0.0233902056280295,0.0133392788877199,0.00974978994594205,0.00383298476734495,-0.00424775361563612,0.00550300078834481
