"method","model","predictor_set","n_folds","mean_r2","sd_r2","mean_rmse","sd_rmse","mean_mae","sd_mae","mean_bias","sd_bias","rank_r2","rank_rmse"
"random_split","GAM","all",5,0.257750926198161,0.275914923326435,0.0539668673959911,0.0523445331573463,0.0137401500124278,0.00756045520461173,0.00456012653846422,0.00554883015206809,3,3
"random_split","GPR","all",5,0.704467100237624,0.232396933209885,0.0147375635316662,0.0114402077775255,0.0063164204815854,0.00220148546289669,-0.000317146089294086,0.00293496741857759,2,2
"random_split","XGB","all",5,0.749847335649531,0.289252160995511,0.0136800396997655,0.00829442337690337,0.00547890838576826,0.00130374466459928,0.000257173694949435,0.00266673065122715,1,1
