"model","rmse_increase","variable","cum_rmse","total_rmse","cum_frac","keep","permutation_keep_frac"
"GPR",-0.000693093738380411,"s3a_olci_errnt.20160425_20241231.l3m.cu.kd.kd_490.4km",0.00906142504265224,0.00906142504265224,1,FALSE,0.95
"GPR",-0.000739839479288729,"ph_p05_monthly_1.5m",0.00906142504265224,0.00906142504265224,1,FALSE,0.95
"GPR",-0.00076327730656681,"bottomt_mean_daily_c",0.00906142504265224,0.00906142504265224,1,FALSE,0.95
"GPR",-0.00104890900269895,"vo_mean_1.5m_m_s",0.00906142504265224,0.00906142504265224,1,FALSE,0.95
"GPR",-0.00109927135405831,"vo_p90_1.5m_m_s",0.00906142504265224,0.00906142504265224,1,FALSE,0.95
"GPR",-0.00154655807524804,"surf_spco2_mean_uatm",0.00906142504265224,0.00906142504265224,1,FALSE,0.95
"GPR",-0.00204692784120777,"s3a_olci_errnt.20160425_20241231.l3m.cu.rrs.rrs_443.4km",0.00906142504265224,0.00906142504265224,1,FALSE,0.95
"GPR",-0.00267707064440779,"daily_std_wave_height_mean_m",0.00906142504265224,0.00906142504265224,1,FALSE,0.95
"GPR",-0.002987704614157,"spco2_monthly_p95_pa",0.00906142504265224,0.00906142504265224,1,FALSE,0.95
"INLA",0,"bottomt_mean_daily_c",0,0,1,FALSE,0.95
"INLA",0,"bottomt_p95_daily_c",0,0,1,FALSE,0.95
"INLA",0,"daily_std_wave_height_mean_m",0,0,1,FALSE,0.95
"INLA",0,"fe_mean_monthly_1.5m_mmol_m3",0,0,1,FALSE,0.95
"INLA",0,"gebco_2025_n61.0_s34.0_w_10.0_e35.0",0,0,1,FALSE,0.95
"INLA",0,"no_sig_wave_heights_mean",0,0,1,FALSE,0.95
"INLA",0,"no3_mean_monthly_1.5m_mmol_m3",0,0,1,FALSE,0.95
"INLA",0,"nppv_mean_monthly_0.5m_mg_m3_day",0,0,1,FALSE,0.95
"INLA",0,"ph_mean_monthly_1.5m",0,0,1,FALSE,0.95
"INLA",0,"ph_p05_monthly_1.5m",0,0,1,FALSE,0.95
"INLA",0,"phyc_mean_monthly_0.5m_mmol_m3",0,0,1,FALSE,0.95
"INLA",0,"s3a_olci_errnt.20160425_20241231.l3m.cu.chl.chlor_a.4km",0,0,1,FALSE,0.95
"INLA",0,"s3a_olci_errnt.20160425_20241231.l3m.cu.iop.adg_443.4km",0,0,1,FALSE,0.95
"INLA",0,"s3a_olci_errnt.20160425_20241231.l3m.cu.kd.kd_490.4km",0,0,1,FALSE,0.95
"INLA",0,"s3a_olci_errnt.20160425_20241231.l3m.cu.rrs.rrs_443.4km",0,0,1,FALSE,0.95
"INLA",0,"spco2_monthly_mean_pa",0,0,1,FALSE,0.95
"INLA",0,"spco2_monthly_p95_pa",0,0,1,FALSE,0.95
"INLA",0,"surf_fgco2_mean_molc_m2_yr",0,0,1,FALSE,0.95
"INLA",0,"surf_spco2_mean_uatm",0,0,1,FALSE,0.95
"INLA",0,"surf_spco2_p95_uatm",0,0,1,FALSE,0.95
"INLA",0,"sw_ke_mean_cm2_s2",0,0,1,FALSE,0.95
"INLA",0,"uo_p90_1.5m_m_s",0,0,1,FALSE,0.95
"INLA",0,"vo_mean_1.5m_m_s",0,0,1,FALSE,0.95
"INLA",0,"vo_p90_1.5m_m_s",0,0,1,FALSE,0.95
"INLA",0,"wave_height_p95_m",0,0,1,FALSE,0.95
"Neural Network",0.0575260225299963,"surf_spco2_p95_uatm",0.0575260225299963,0.209648366524958,0.274392896465273,TRUE,0.95
"Neural Network",0.0550510095884077,"surf_fgco2_mean_molc_m2_yr",0.112577032118404,0.209648366524958,0.536980249283279,TRUE,0.95
"Neural Network",0.0261979827139796,"vo_mean_1.5m_m_s",0.138775014832384,0.209648366524958,0.661941789161821,TRUE,0.95
"Neural Network",0.0206772809788524,"daily_std_wave_height_mean_m",0.159452295811236,0.209648366524958,0.760570179745493,TRUE,0.95
"Neural Network",0.0200883936512272,"vo_p90_1.5m_m_s",0.179540689462463,0.209648366524958,0.856389641562458,TRUE,0.95
"Neural Network",0.0114711981714341,"no_sig_wave_heights_mean",0.191011887633897,0.209648366524958,0.911106014323075,TRUE,0.95
"Neural Network",0.00873810460394045,"ph_mean_monthly_1.5m",0.199749992237838,0.209648366524958,0.952785826805183,FALSE,0.95
"Neural Network",0.00229863226683829,"s3a_olci_errnt.20160425_20241231.l3m.cu.chl.chlor_a.4km",0.202048624504676,0.209648366524958,0.963750053738783,FALSE,0.95
"Neural Network",0.0022153394637894,"surf_spco2_mean_uatm",0.204263963968465,0.209648366524958,0.974316983023804,FALSE,0.95
"Neural Network",0.00213253108970612,"sw_ke_mean_cm2_s2",0.206396495058172,0.209648366524958,0.98448892533394,FALSE,0.95
"Neural Network",0.0016556182929791,"wave_height_p95_m",0.208052113351151,0.209648366524958,0.992386045261092,FALSE,0.95
"Neural Network",0.00159625317380699,"spco2_monthly_mean_pa",0.209648366524958,0.209648366524958,1,FALSE,0.95
"Neural Network",-0.00132480694424816,"fe_mean_monthly_1.5m_mmol_m3",0.209648366524958,0.209648366524958,1,FALSE,0.95
"Neural Network",-0.00220741120704849,"s3a_olci_errnt.20160425_20241231.l3m.cu.rrs.rrs_443.4km",0.209648366524958,0.209648366524958,1,FALSE,0.95
"Neural Network",-0.00246934257742203,"s3a_olci_errnt.20160425_20241231.l3m.cu.kd.kd_490.4km",0.209648366524958,0.209648366524958,1,FALSE,0.95
"Neural Network",-0.00363756204173946,"bottomt_mean_daily_c",0.209648366524958,0.209648366524958,1,FALSE,0.95
"Neural Network",-0.00452832383979484,"phyc_mean_monthly_0.5m_mmol_m3",0.209648366524958,0.209648366524958,1,FALSE,0.95
"Neural Network",-0.00456791128569308,"uo_p90_1.5m_m_s",0.209648366524958,0.209648366524958,1,FALSE,0.95
"Neural Network",-0.00727480433010915,"ph_p05_monthly_1.5m",0.209648366524958,0.209648366524958,1,FALSE,0.95
"Neural Network",-0.00734354312233951,"spco2_monthly_p95_pa",0.209648366524958,0.209648366524958,1,FALSE,0.95
"Neural Network",-0.00769860104846096,"no3_mean_monthly_1.5m_mmol_m3",0.209648366524958,0.209648366524958,1,FALSE,0.95
"Neural Network",-0.00841774567615845,"s3a_olci_errnt.20160425_20241231.l3m.cu.iop.adg_443.4km",0.209648366524958,0.209648366524958,1,FALSE,0.95
"Neural Network",-0.0172970592809207,"nppv_mean_monthly_0.5m_mg_m3_day",0.209648366524958,0.209648366524958,1,FALSE,0.95
"Neural Network",-0.0173807080379149,"gebco_2025_n61.0_s34.0_w_10.0_e35.0",0.209648366524958,0.209648366524958,1,FALSE,0.95
"Neural Network",-0.0182759763030877,"bottomt_p95_daily_c",0.209648366524958,0.209648366524958,1,FALSE,0.95
"Ordinary Kriging",0,"bottomt_mean_daily_c",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"bottomt_p95_daily_c",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"daily_std_wave_height_mean_m",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"fe_mean_monthly_1.5m_mmol_m3",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"gebco_2025_n61.0_s34.0_w_10.0_e35.0",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"no_sig_wave_heights_mean",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"no3_mean_monthly_1.5m_mmol_m3",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"nppv_mean_monthly_0.5m_mg_m3_day",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"ph_mean_monthly_1.5m",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"ph_p05_monthly_1.5m",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"phyc_mean_monthly_0.5m_mmol_m3",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"s3a_olci_errnt.20160425_20241231.l3m.cu.chl.chlor_a.4km",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"s3a_olci_errnt.20160425_20241231.l3m.cu.iop.adg_443.4km",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"s3a_olci_errnt.20160425_20241231.l3m.cu.kd.kd_490.4km",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"s3a_olci_errnt.20160425_20241231.l3m.cu.rrs.rrs_443.4km",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"spco2_monthly_mean_pa",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"spco2_monthly_p95_pa",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"surf_fgco2_mean_molc_m2_yr",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"surf_spco2_mean_uatm",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"surf_spco2_p95_uatm",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"sw_ke_mean_cm2_s2",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"uo_p90_1.5m_m_s",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"vo_mean_1.5m_m_s",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"vo_p90_1.5m_m_s",0,0,1,FALSE,0.95
"Ordinary Kriging",0,"wave_height_p95_m",0,0,1,FALSE,0.95
"Random Forest",0.000600911274372139,"wave_height_p95_m",0.000600911274372139,0.0015150476250308,0.39662863691161,TRUE,0.95
"Random Forest",0.000578205689018538,"spco2_monthly_p95_pa",0.00117911696339068,0.0015150476250308,0.778270559888641,TRUE,0.95
"Random Forest",0.000262428328724706,"uo_p90_1.5m_m_s",0.00144154529211538,0.0015150476250308,0.951485133733718,FALSE,0.95
"Random Forest",6.38278105399223e-05,"vo_mean_1.5m_m_s",0.00150537310265531,0.0015150476250308,0.993614377386125,FALSE,0.95
"Random Forest",8.22214155806258e-06,"s3a_olci_errnt.20160425_20241231.l3m.cu.iop.adg_443.4km",0.00151359524421337,0.0015150476250308,0.999041362929167,FALSE,0.95
"Random Forest",1.45238081743215e-06,"s3a_olci_errnt.20160425_20241231.l3m.cu.chl.chlor_a.4km",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
"Random Forest",-2.13178413577993e-05,"gebco_2025_n61.0_s34.0_w_10.0_e35.0",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
"Random Forest",-2.28239254525218e-05,"spco2_monthly_mean_pa",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
"Random Forest",-6.48551136317385e-05,"no_sig_wave_heights_mean",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
"Random Forest",-6.49224013894341e-05,"fe_mean_monthly_1.5m_mmol_m3",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
"Random Forest",-6.91908833840259e-05,"nppv_mean_monthly_0.5m_mg_m3_day",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
"Random Forest",-7.07204005185764e-05,"vo_p90_1.5m_m_s",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
"Random Forest",-0.000122996876165002,"surf_fgco2_mean_molc_m2_yr",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
"Random Forest",-0.000145644298173323,"ph_mean_monthly_1.5m",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
"Random Forest",-0.000148044997364941,"no3_mean_monthly_1.5m_mmol_m3",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
"Random Forest",-0.000150834447413723,"surf_spco2_p95_uatm",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
"Random Forest",-0.000154314649337878,"ph_p05_monthly_1.5m",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
"Random Forest",-0.000159319542506184,"surf_spco2_mean_uatm",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
"Random Forest",-0.000183159706507001,"phyc_mean_monthly_0.5m_mmol_m3",0.0015150476250308,0.0015150476250308,1,FALSE,0.95
